COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
IN,2020-09-01,#BeTheInfinite feat. MS Dhoni,OPPO Mobile India,Science & Technology,52815033,0.49
JP,2020-09-01,Stray Kids Back Door M/V,JYP Entertainment,Music,44891084,4.90
KR,2020-09-01,EVERGLOW (에버글로우) - LA DI DA MV,Stone Music Entertainment,Music,53517507,2.03
MX,2020-09-01,EVERGLOW (에버글로우) - LA DI DA MV,Stone Music Entertainment,Music,45950142,2.16
RU,2020-09-01,6IX9INE- TUTU (Official Music Video),Tekashi 6ix9ine,Music,42054762,3.58
US,2020-09-01,Justin Bieber - Holy ft. Chance The Rapper,JustinBieberVEVO,Music,57463872,4.75
BR,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
CA,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
DE,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,124180499,7.21
FR,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,132678906,6.86
GB,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,124180499,7.21
IN,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
JP,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,152325542,6.18
KR,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,161416953,5.91
MX,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,152325542,6.18
RU,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,105309895,8.20
US,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
BR,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,146408342,7.73
CA,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
DE,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,136155442,8.14
FR,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,141428767,7.92
GB,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,141428767,7.92
IN,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
JP,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
KR,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,161912058,7.20
MX,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
RU,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,121487843,8.80
US,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
BR,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,68967540,2.25
CA,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,61451597,2.39
DE,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,40147961,2.87
FR,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,46791627,2.70
GB,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,40147961,2.87
IN,2020-12-01,"Husnn Hai Suhaana New - Coolie No.1| VarunDhawan | Sara Ali Khan | Chandana, Abhijeet| David Dhawan",Tips Official,Music,73966668,0.00
JP,2020-12-01,taylor swift - willow (official music video),TaylorSwiftVEVO,Music,30631432,4.11
KR,2020-12-01,taylor swift - willow (official music video),TaylorSwiftVEVO,Music,34158130,3.79
MX,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,68967540,2.25
RU,2020-12-01,Дмитрий Губерниев х Настя Ивлеева х Олег Майами х Гарик Харламов х Джиган | ЧТО БЫЛО ДАЛЬШЕ?,LABELCOM,Comedy,23541629,3.06
US,2020-12-01,"Ricardo Montaner, Mau y Ricky, Camilo, Evaluna Montaner - Amén",RicardoMontanerVEVO,Music,67420953,2.21
BR,2021-01-01,The Weeknd - Save Your Tears (Official Music Video),TheWeekndVEVO,Music,50320889,3.28
CA,2021-01-01,Godzilla vs. Kong – Official Trailer,Warner Bros. Pictures,Entertainment,48667708,3.20
DE,2021-01-01,"Saiyaan Ji ► Yo Yo Honey Singh, Neha Kakkar|Nushrratt Bharuccha|  Lil G, Hommie D| Mihir G|Bhushan K",T-Series,Music,44115693,4.86
FR,2021-01-01,(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,39845256,2.27
GB,2021-01-01,Godzilla vs. Kong – Official Trailer,Warner Bros. Pictures,Entertainment,46856933,3.25
IN,2021-01-01,KGF Chapter2 TEASER |Yash|Sanjay Dutt|Raveena Tandon|Srinidhi Shetty|Prashanth Neel|Vijay Kiragandur,Hombale Films,Entertainment,156704924,4.91
JP,2021-01-01,(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,39845256,2.27
KR,2021-01-01,(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,42764091,2.23
MX,2021-01-01,The Weeknd - Save Your Tears (Official Music Video),TheWeekndVEVO,Music,53714712,3.18
RU,2021-01-01,Дворец для Путина. История самой большой взятки,Алексей Навальный,Nonprofits & Activism,80994243,4.85
US,2021-01-01,The Weeknd - Save Your Tears (Official Music Video),TheWeekndVEVO,Music,50320889,3.28
BR,2021-02-01,BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE (Video Oficial),Bad Bunny,Music,54728676,2.67
CA,2021-02-01,Amazon’s Big Game Commercial: Alexa’s Body,amazon,Science & Technology,77159346,0.06
DE,2021-02-01,Amazon’s Big Game Commercial: Alexa’s Body,amazon,Science & Technology,77927326,0.07
FR,2021-02-01,Amazon’s Big Game Commercial: Alexa’s Body,amazon,Science & Technology,77927326,0.07
GB,2021-02-01,Jeep® | The Middle,Jeep,Autos & Vehicles,37847099,0.10
IN,2021-02-01,"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay",T-Series,Music,75471473,2.72
JP,2021-02-01,SHINee 샤이니 'Don't Call Me' MV,SMTOWN,Music,27444655,4.63
KR,2021-02-01,Ariana Grande - 34+35 Remix (feat. Doja Cat and Megan Thee Stallion) (Official Video),ArianaGrandeVevo,Music,29416620,5.65
MX,2021-02-01,BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE (Video Oficial),Bad Bunny,Music,46388874,2.98
RU,2021-02-01,Daft Punk - Epilogue,Daft Punk,Music,20895203,6.25
US,2021-02-01,Amazon’s Big Game Commercial: Alexa’s Body,amazon,Science & Technology,77745621,0.07
BR,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,107393974,6.81
CA,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,103691157,6.99
DE,2021-03-01,THIS NEARLY GAVE HIM A HEART ATTACK! 🤣😱,Woody & Kleiny Extra,People & Blogs,90096185,4.92
FR,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,94356729,7.48
GB,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,94356729,7.48
IN,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,94356729,7.48
JP,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,107393974,6.81
KR,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,117461115,6.39
MX,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,103691157,6.99
RU,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,75877531,8.77
US,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,Music,103691157,6.99
BR,2021-04-01,Oh No.... 😂,Dan Rhodes,Entertainment,82308746,2.68
CA,2021-04-01,I broke my finger! 😨 (Behind the scenes) 😂 #shorts,Dan Rhodes,Entertainment,95657986,3.04
DE,2021-04-01,"Sculpture Performer ,  Sculpture China Funny Part   252",cam nath,People & Blogs,70271953,2.41
FR,2021-04-01,ITZY 마.피.아. In the morning M/V,JYP Entertainment,Music,67540465,3.26
GB,2021-04-01,This is impossible! (Behind the scenes) 🤐  #shorts,Dan Rhodes,Entertainment,74165462,3.28
IN,2021-04-01,8 Year Old Loses His Mind! 🤣😱,Woody & Kleiny Extra,People & Blogs,98126454,3.56
JP,2021-04-01,BTS (방탄소년단) 'Film out' Official MV,HYBE LABELS,Music,76838480,9.23
KR,2021-04-01,BTS (방탄소년단) 'Film out' Official MV,HYBE LABELS,Music,78893765,9.05
MX,2021-04-01,"Gera MX, Christian Nodal - Botella Tras Botella (Video Oficial)",Gera MX,Music,75125854,4.01
RU,2021-04-01,FUNNY DIY FOOT SOAP 🧼🦶😂 || #SHORTS,5-Minute Crafts FAMILY,Howto & Style,68030561,2.79
US,2021-04-01,I broke my finger! 😨 (Behind the scenes) 😂 #shorts,Dan Rhodes,Entertainment,82000798,3.08
BR,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,278080610,5.83
CA,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,264407389,6.06
DE,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,166895681,8.51
FR,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,166895681,8.51
GB,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,166895681,8.51
IN,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,264407389,6.06
JP,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,289350312,5.66
KR,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,296314174,5.56
MX,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,278080610,5.83
RU,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,166895681,8.51
US,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,264407389,6.06
BR,2021-06-01,MvRyhan Funny videos #tiktok #Shorts,Mv Ryhan,Entertainment,112206527,1.73
CA,2021-06-01,When the cheating went wrong #Shorts,Fortnite Fun TV,Entertainment,137308926,2.87
DE,2021-06-01,She is foxy but not enough #Shorts,Fortnite Fun TV,Entertainment,119521689,3.34
FR,2021-06-01,TWICE Alcohol-Free M/V,JYP Entertainment,Music,78550806,3.31
GB,2021-06-01,Guess the sound challenge🎵 #shorts,Tsuriki Show,Comedy,115182723,2.72
IN,2021-06-01,Paytm IPL 2021 Ad - The Salon (English),Paytm,People & Blogs,141191928,0.00
JP,2021-06-01,TWICE Alcohol-Free M/V,JYP Entertainment,Music,89873459,3.05
KR,2021-06-01,TWICE Alcohol-Free M/V,JYP Entertainment,Music,104119672,2.72
MX,2021-06-01,TWICE Alcohol-Free M/V,JYP Entertainment,Music,84428638,3.16
RU,2021-06-01,Who Is SMARTER? 😂 #shorts,LankyBox,Gaming,55538419,3.46
US,2021-06-01,She is foxy but not enough #Shorts,Fortnite Fun TV,Entertainment,126907932,3.31
BR,2021-07-01,Turn into orbeez - Tutorial #Shorts,FFUNTV,Entertainment,175875729,3.36
CA,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,194625542,2.54
DE,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,176598344,2.59
FR,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,162473728,7.52
GB,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,194625542,2.54
IN,2021-07-01,Filhaal2 Mohabbat | Akshay Kumar Ft Nupur Sanon | Ammy Virk | BPraak | Jaani | Arvindr Khaira,DM - Desi Melodies,Music,202091414,1.98
JP,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,172293664,7.20
KR,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,194795844,6.55
MX,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,172293664,7.20
RU,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,134577553,2.79
US,2021-07-01,Turn into orbeez - Tutorial #Shorts,FFUNTV,Entertainment,206202284,3.32
BR,2021-08-01,Join the BTS #PermissiontoDance Challenge only on YouTube #Shorts,YouTube,Education,55229277,0.00
CA,2021-08-01,Amazing Liquid Experiment #shorts by Family Booms,FAMILY BOOMS,Entertainment,82908930,3.43
DE,2021-08-01,MYSTERY INSIDE TOOTHPASTE?!,Itzshauni,Entertainment,117218206,3.84
FR,2021-08-01,Stray Kids 소리꾼 M/V,JYP Entertainment,Music,52632796,4.59
GB,2021-08-01,MYSTERY INSIDE TOOTHPASTE?!,Itzshauni,Entertainment,121633557,3.82
IN,2021-08-01,Don’t be Oversmart 😎 ~ You Can’t Change your Destiny 😂 ~ @Priyal Kukreja  Dushyant Kukreja #shorts,Dushyant kukreja,Entertainment,100949001,3.92
JP,2021-08-01,Stray Kids 소리꾼 M/V,JYP Entertainment,Music,56295243,4.45
KR,2021-08-01,Stray Kids 소리꾼 M/V,JYP Entertainment,Music,56295243,4.45
MX,2021-08-01,Stray Kids 소리꾼 M/V,JYP Entertainment,Music,56295243,4.45
RU,2021-08-01,Join the BTS #PermissiontoDance Challenge only on YouTube #Shorts,YouTube,Education,51624621,0.00
US,2021-08-01,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),Sony Pictures Entertainment,Entertainment,67616001,4.07
BR,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
CA,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
DE,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
FR,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,169274664,6.91
GB,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,154134590,7.36
IN,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
JP,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,169274664,6.91
KR,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,192376395,6.33
MX,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,176014411,6.73
RU,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,124097287,8.49
US,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,Music,154134590,7.36
BR,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,99208622,4.07
CA,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,99208622,4.07
DE,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,99208622,4.07
FR,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,104017073,3.99
GB,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,104017073,3.99
IN,2021-10-01,My hidden talent #shorts,Zach King Shorts,Comedy,64991290,3.30
JP,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,114925848,3.79
KR,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,114925848,3.79
MX,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,111662438,3.85
RU,2021-10-01,Img it popped!! #Shorts,Romina Gafur,Entertainment,68318786,4.14
US,2021-10-01,Adele - Easy On Me (Official Video),AdeleVEVO,Music,139547582,3.38
BR,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,50965769,4.18
CA,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,137068663,7.97
DE,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,130743617,8.15
FR,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,46740014,4.38
GB,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,137068663,7.97
IN,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,130743617,8.15
JP,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,58792578,3.86
KR,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,60701406,3.79
MX,2021-11-01,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,53995481,4.06
RU,2021-11-01,Exercise Ball Racing Is AWESOME 🔴🟡,How Ridiculous,Sports,103289157,3.69
US,2021-11-01,"$456,000 Squid Game In Real Life!",MrBeast,Entertainment,137068663,7.97
BR,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,39488198,2.86
CA,2021-12-01,Crazy #alluarjun #painting  #shorts #viral #trending,Dr.Harrsha Artist,Film & Animation,85050565,6.57
DE,2021-12-01,Crazy #alluarjun #painting  #shorts #viral #trending,Dr.Harrsha Artist,Film & Animation,86415224,6.57
FR,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,39488198,2.86
GB,2021-12-01,Crazy #alluarjun #painting  #shorts #viral #trending,Dr.Harrsha Artist,Film & Animation,87563278,6.55
IN,2021-12-01,OMG Hot burger! 😂 #shorts Best video by MoniLina,MoniLina,Comedy,84994444,0.00
JP,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,42856726,2.81
KR,2021-12-01,NCT U 엔시티 유 'Universe (Let's Play Ball)' MV,SMTOWN,Music,42549295,2.82
MX,2021-12-01,Google — Year In Search 2021,Google,Science & Technology,71513525,0.20
RU,2021-12-01,😱OMG😱 BEST TEACHER,dednahype,Comedy,158330370,5.23
US,2021-12-01,Crazy #alluarjun #painting  #shorts #viral #trending,Dr.Harrsha Artist,Film & Animation,86415224,6.57
BR,2022-01-01,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,Gaming,51873027,1.17
CA,2022-01-01,More fun experiments than ever 🙄🙄 #ThatLittlePuff #catsoftiktok #boostofhope #puffknowsbetter,That Little Puff,People & Blogs,56313580,6.05
DE,2022-01-01,Balloon Pop Racing Is INTENSE!! 🎈,How Ridiculous,Sports,107927053,3.67
FR,2022-01-01,Kep1er 케플러 | ‘WA DA DA’ M/V,Kep1er,People & Blogs,29580488,3.99
GB,2022-01-01,Diver Cracks Egg at 45 ft Deep #Shorts,Shanger Danger,People & Blogs,47397141,5.82
IN,2022-01-01,Ghareeb Baap aur Khilone Wala || Emotional Video || #shorts,Peep Peep,Entertainment,87847902,2.66
JP,2022-01-01,Kep1er 케플러 | ‘WA DA DA’ M/V,Kep1er,People & Blogs,34418748,3.85
KR,2022-01-01,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,Gaming,90978675,0.69
MX,2022-01-01,"The Call | Season 2022 Cinematic - League of Legends (ft. 2WEI, Louis Leibfried, and Edda Hayes)",League of Legends,Gaming,68204276,0.90
RU,2022-01-01,Balloon Pop Racing Is INTENSE!! 🎈,How Ridiculous,Sports,91248098,3.82
US,2022-01-01,He went against a pro and came up clutch 👏🔥 | #shorts,SportsNation,Sports,42093658,4.36
